naam,vestigingsnummer,cb_er
CEVA Logistics,,002441
Houbensteyn B.V.,,001067
Welzijnsgroep Parkstad Limburg,,001215
Gemeente Kerkrade,,001113
Rendiz B.V.,,002699
Amalia Kliniek,,002438
Apg Groep,,001054
Arriva - Limburg,,002852
Arvato Benelux B.V.,,002436
Bakkerij Broekmans B.V.,,001576
Bakkerij Voncken,,001823
Bibliotheek Maasbracht,,001827
Boston Scientific International B.V.,,002440
Canon Production Printing Netherlands B.V.,,001301
CNC International B.V.,,004670
DSV,,001246
Stichting Envida,,000333
Ericsson Network Services,619265823,000000
Foot Locker Europe B.V.,,001483
Gemeente Brunssum,,001128
Gemeente Eijsden-Margraten,,002152
Gemeente Gennep,,001668
Gemeente Heerlen,,001135
Gemeente Horst aan de Maas,,001133
Gemeente Landgraaf,,001057
Gemeente Maasgouw,,001792
Gemeente Maastricht,,001001
Gemeente Peel en Maas,,001137
Gemeente Roermond,,001200
Gemeente Sittard-Geleen,,001034
Gemeente Venlo,,001070
Gemeente Venray,,001845
GGD Zuid-Limburg,,001667
Gilde Opleidingen,,001056
Hessing Greenport Venlo,,004523
Katoen Natie Limburg B.V.,,001272
"Stichting Kinderopvang Roermond, Maasgouw, Echt-Susteren",,001014
Kindercentrum 't Rovertje,,002261
Newtone Advies & Accountancy,,001155
Kupers Reisinfo,,001815
LEVANTOgroep,,001289
Medtronic B.V.,,001255
Mitsubishi Motors Europe B.V.,,004209
Mondriaan,,001130
MTB Regio Maastricht,,001108
Mutsaersstichting,,001132
NLW Bedrijven,,001060
Oci Nitrogen B.V.,,002074
Onderwijsgemeenschap Venlo & Omstreken,,001800
Koobra Invest B.V.,,003071
Provincie Limburg,,001992
PVH Venlo,,002489
Rabobank Limburg,,001761
Redcare Apotheke,586447020,000000
Rijksdienst voor Ondernemend Nederland,111105783,000000
Sabic Limburg B.V.,,001027
Scheldebouw B.V. - Heerlen,111089895,000000
Scheuten Glas Nederland B.V.,,001697
Seacon Logistics,,001873
Securitas Nederland Regio Maastricht,218500131,000000
Sevagram,,001022
Smurfit Kappa Roermond,,002520
Sociale Verzekeringsbank District Roermond,685355220,000000
Stichting Onderwijs Midden Limburg,,001257
Spie Nederland B.V.,,001307
Spring Kinderopvang,,001015
Stichting Daelzicht,,001077
Stichting Kinderopvang 't Nest,,002061
Stichting Meerderweert,,001887
Stichting Moveoo,,001031
Stichting Radar,,000002
Stichting XONAR,,001035
Stichting Gehandicaptenzorg Limburg (SGL),,001041
Stichting Kinderopvang Nuth,,002200
Pactum - Regiovestigingen Zuid,,002516
Taxi/Touringcar-/Autoverhuurbedrijf Geerets de Leeuw B.V.,,001926
Teleperformance B.V.,504359414,002144
VDL Groep B.V.,,002355
Viecuri Medisch Centrum V. Noord-Limburg,,001131
Vincent van Gogh voor Geestelijke Gezondheid,,001112
Vissers Energy Group,,002108
Vista College,,001069
Vivantes Zorggroep,,001569
Waa Groep N.V.,,001037
Walkro,,003875
Waterschap Limburg,,002264
Wee-Play Kinderopvang,,002317
Wellcoll Group,,001640
Stichting Weller Wonen,,001186
Doon Roermond,502094204,001114
Wonen Limburg Huis,,001105
Stichting Yuverta,,001772
Annewim BV h.o.d.n. Zorggroep Hilzijn,,002941
Zuyderwende B.V.,,004741
