naam,cb_er,jaarverslag_url
Deloitte Tax & Legal B.V.,
Eurocontrol - Maastricht Upper Area Control (Muac) Centre,
Zowonen,
Sint Jozef wonen en zorg,
Open Universiteit,
Woningstichting Servatius,
Trespa International B.V.,
Zorgboerderij der Bsch,
Zorgboerderij Wienes B.V.,
Huisartsenpraktijk Gezondheidscentrum Neerbeek,
Gezinshuis De Eekhoorn,
Hippocampus Opleidingscentrum,
GreenLeaf Zorg B.V.,
Politie Limburg,000009
Postnl N.V.,000182
Zuyderland Medisch en Zorgconcern,000222
MIK en Spelenderwijs Kindontwikkeling,000286
WML (NV Waterleidingmij Limburg),000293
Maastricht University,000326
Directoraat-Generaal Rijkswaterstaat Directie Limburg,001000
DSM-Firmenich,001002
Zuyd Hogeschool,001003
CZ Groep Zorgverzekeringen,001004
Stichting Humankind,001008
Proteion,001017
Kinderopvang Flow,001018
WSP Parkstad B.V.,001020
EQUANS - Regio Zuid,001023
De Zorggroep,001044
Mik-Piw Groep,001046
Gemeente Weert,001061
Stichting Punt Welzijn,001087
"Stichting Trajekt, Ondernemen in Welzijn",001094
Koraal Groep,001095
RD4 Reinigingsdiensten,001109
UWV Servicepunt Facilitair en Inkoop,001110
Koninklijke BAM Groep N.V.,001111
Zorggroep Adelante,001117
Vodafone,001121
Jumbo Supermarkten B.V. - Filiaal,001148
Newtone Advies & Accountancy,001155
Stichting Land van Horne,001162
Stichting Pedagogisch Sociaal Werk Midden-Limburg,001191
Meandergroep Zuid-Limburg,001244
Stichting Dichterbij,001245
Stichting Pergamijn,001249
Belastingdienst Limburg,001297
Omroepbedrijf Limburg B.V.,001306
Ups Scs (Nederland) - Limburg,001308
Gemeente Stein,001309
ING Bank,001662
KPN,001663
Belastingdienst/ Douane Eindhoven,001669
Stichting Wonen Plus,001671
Cicero Zorggroep,001706
Amw-ml - Cjg-ml,001775
Fontys Hogescholen,001784
Veiligheidsregio Limburg Noord,001785
Gemeente Leudal,001791
NS Groep,001814
MET ggz,001839
Pi Zuid-Oost,001850
